model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
svc,k-means,0.79,0.788,0.788,0.79,0.037,0.038,0.038,0.037,7.16,0.01,0.778,0.69,0.805,0.78,0.87,6e-06,50,2,666.7461969852448,439.0870053768158,5.738417436445556e-07,0.0015873908996582031
logreg,k-means,0.83,0.828,0.828,0.83,0.051,0.052,0.052,0.051,6.416,0.023,0.796,0.725,0.835,0.818,0.888,1e-06,50,2,666.7461969852448,439.0870053768158,5.738417436445556e-07,0.0015873908996582031
mlp,k-means,0.73,0.728,0.728,0.73,0.103,0.103,0.103,0.103,7.944,0.116,0.741,0.622,0.74,0.699,0.82,1.3e-05,50,2,666.7461969852448,439.0870053768158,5.738417436445556e-07,0.0015873908996582031
xgb,ag,0.95,0.95,0.95,0.95,0.032,0.032,0.032,0.032,5.117,0.038,0.809,0.718,0.825,0.804,0.883,2e-06,50,2,666.7461969852448,439.0870053768158,5.738417436445556e-07,0.0014884471893310547
rf,ag,0.92,0.92,0.92,0.92,0.024,0.025,0.025,0.024,13.191,0.29,0.797,0.707,0.818,0.795,0.873,3e-05,50,2,666.7461969852448,439.0870053768158,5.738417436445556e-07,0.0014884471893310547
svc,ag,0.86,0.86,0.86,0.86,0.111,0.112,0.112,0.111,7.049,0.007,0.789,0.749,0.858,0.849,0.868,8e-06,50,2,666.7461969852448,439.0870053768158,5.738417436445556e-07,0.0014884471893310547
logreg,ag,0.85,0.849,0.849,0.85,0.084,0.085,0.085,0.084,7.064,0.012,0.829,0.798,0.889,0.884,0.903,1e-06,50,2,666.7461969852448,439.0870053768158,5.738417436445556e-07,0.0014884471893310547
mlp,ag,0.75,0.749,0.749,0.75,0.122,0.123,0.123,0.122,7.307,0.124,0.781,0.687,0.801,0.775,0.87,3e-05,50,2,666.7461969852448,439.0870053768158,5.738417436445556e-07,0.0014884471893310547
xgb,k_center,0.67,0.664,0.664,0.67,0.051,0.054,0.054,0.051,5.132,0.047,0.781,0.703,0.818,0.796,0.855,1.8e-05,50,2,666.7461969852448,439.0870053768158,5.738417436445556e-07,0.0014793872833251953
rf,k_center,0.65,0.643,0.643,0.65,0.084,0.081,0.081,0.084,17.341,0.434,0.755,0.628,0.742,0.701,0.85,3.3e-05,50,2,666.7461969852448,439.0870053768158,5.738417436445556e-07,0.0014793872833251953
svc,k_center,0.59,0.553,0.553,0.59,0.111,0.136,0.136,0.111,7.019,0.008,0.563,0.279,0.267,0.279,0.283,1.1e-05,50,2,666.7461969852448,439.0870053768158,5.738417436445556e-07,0.0014793872833251953
logreg,k_center,0.61,0.607,0.607,0.61,0.124,0.124,0.124,0.124,6.458,0.004,0.575,0.341,0.369,0.344,0.695,1e-06,50,2,666.7461969852448,439.0870053768158,5.738417436445556e-07,0.0014793872833251953
mlp,k_center,0.57,0.568,0.568,0.57,0.103,0.104,0.104,0.103,7.523,0.054,0.582,0.372,0.419,0.38,0.657,1.3e-05,50,2,666.7461969852448,439.0870053768158,5.738417436445556e-07,0.0014793872833251953
xgb,craig,0.657,0.628,0.694,0.74,0.161,0.21,0.173,0.12,4.203,0.032,0.5,0.221,0.192,0.224,0.531,1.9e-05,50,2,666.7461969852448,439.0870053768158,5.738417436445556e-07,0.0012743473052978516
rf,craig,0.562,0.521,0.608,0.66,0.169,0.197,0.158,0.12,15.393,0.337,0.503,0.243,0.227,0.243,0.584,2.2e-05,50,2,666.7461969852448,439.0870053768158,5.738417436445556e-07,0.0012743473052978516
svc,craig,0.579,0.569,0.641,0.66,0.109,0.125,0.093,0.08,7.24,0.004,0.526,0.325,0.361,0.329,0.57,7e-06,50,2,666.7461969852448,439.0870053768158,5.738417436445556e-07,0.0012743473052978516
logreg,craig,0.58,0.589,0.641,0.64,0.245,0.247,0.225,0.242,6.328,0.01,0.625,0.511,0.631,0.573,0.677,0.0,50,2,666.7461969852448,439.0870053768158,5.738417436445556e-07,0.0012743473052978516
mlp,craig,0.579,0.545,0.637,0.68,0.231,0.237,0.181,0.172,7.38,0.034,0.589,0.41,0.481,0.428,0.62,7.7e-05,50,2,666.7461969852448,439.0870053768158,5.738417436445556e-07,0.0012743473052978516
xgb,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,14.367,0.042,0.166,0.107,0.126,0.108,0.102,1e-05,50,2,666.7461969852448,439.0870053768158,5.738417436445556e-07,0.001285552978515625
rf,lc,0.99,0.99,0.99,0.99,0.02,0.02,0.02,0.02,16.256,0.425,0.222,0.119,0.122,0.119,0.12,2.7e-05,50,2,666.7461969852448,439.0870053768158,5.738417436445556e-07,0.001285552978515625
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.315,0.004,0.322,0.259,0.339,0.277,0.235,7e-06,50,2,666.7461969852448,439.0870053768158,5.738417436445556e-07,0.001285552978515625
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.323,0.005,0.331,0.263,0.343,0.281,0.266,1e-06,50,2,666.7461969852448,439.0870053768158,5.738417436445556e-07,0.001285552978515625
mlp,lc,0.98,0.98,0.98,0.98,0.04,0.04,0.04,0.04,8.105,0.117,0.344,0.298,0.405,0.333,0.299,1.3e-05,50,2,666.7461969852448,439.0870053768158,5.738417436445556e-07,0.001285552978515625
xgb,random,0.85,0.849,0.849,0.85,0.089,0.091,0.091,0.089,7.503,0.019,0.817,0.746,0.85,0.835,0.854,8e-06,50,3,,,,
rf,random,0.78,0.778,0.778,0.78,0.093,0.094,0.094,0.093,11.013,0.187,0.791,0.708,0.82,0.799,0.871,1.4e-05,50,3,,,,
svc,random,0.73,0.724,0.724,0.73,0.121,0.124,0.124,0.121,7.195,0.008,0.793,0.747,0.856,0.845,0.873,9e-06,50,3,,,,
logreg,random,0.76,0.751,0.751,0.76,0.111,0.117,0.117,0.111,5.227,0.005,0.807,0.768,0.87,0.862,0.885,1e-06,50,3,,,,
mlp,random,0.7,0.696,0.696,0.7,0.045,0.045,0.045,0.045,6.673,0.131,0.789,0.675,0.786,0.755,0.864,9e-06,50,3,,,,
xgb,k-means,0.88,0.878,0.878,0.88,0.06,0.062,0.062,0.06,6.877,0.013,0.844,0.796,0.884,0.877,0.88,6e-06,50,3,818.7759099006653,113.20293831825256,5.695447520413914e-07,0.001676797866821289
rf,k-means,0.79,0.786,0.786,0.79,0.073,0.076,0.076,0.073,12.912,0.149,0.761,0.683,0.804,0.78,0.845,1.2e-05,50,3,818.7759099006653,113.20293831825256,5.695447520413914e-07,0.001676797866821289
svc,k-means,0.83,0.827,0.827,0.83,0.068,0.07,0.07,0.068,7.174,0.004,0.812,0.758,0.86,0.849,0.878,8e-06,50,3,818.7759099006653,113.20293831825256,5.695447520413914e-07,0.001676797866821289
logreg,k-means,0.82,0.817,0.817,0.82,0.075,0.079,0.079,0.075,7.178,0.007,0.827,0.763,0.862,0.849,0.884,1e-06,50,3,818.7759099006653,113.20293831825256,5.695447520413914e-07,0.001676797866821289
mlp,k-means,0.75,0.747,0.747,0.75,0.114,0.115,0.115,0.114,7.037,0.104,0.798,0.698,0.808,0.782,0.869,2.3e-05,50,3,818.7759099006653,113.20293831825256,5.695447520413914e-07,0.001676797866821289
xgb,ag,0.86,0.859,0.859,0.86,0.073,0.074,0.074,0.073,4.287,0.037,0.841,0.783,0.875,0.865,0.907,1.7e-05,50,3,818.7759099006653,113.20293831825256,5.695447520413914e-07,0.0015888214111328125
rf,ag,0.81,0.809,0.809,0.81,0.111,0.111,0.111,0.111,13.277,0.11,0.788,0.717,0.83,0.812,0.854,8e-06,50,3,818.7759099006653,113.20293831825256,5.695447520413914e-07,0.0015888214111328125
svc,ag,0.83,0.828,0.828,0.83,0.06,0.061,0.061,0.06,6.955,0.006,0.828,0.757,0.857,0.843,0.873,8e-06,50,3,818.7759099006653,113.20293831825256,5.695447520413914e-07,0.0015888214111328125
logreg,ag,0.83,0.828,0.828,0.83,0.024,0.024,0.024,0.024,6.493,0.007,0.824,0.751,0.852,0.837,0.887,1e-06,50,3,818.7759099006653,113.20293831825256,5.695447520413914e-07,0.0015888214111328125
mlp,ag,0.73,0.726,0.726,0.73,0.024,0.027,0.027,0.024,6.459,0.062,0.811,0.702,0.808,0.782,0.873,1.4e-05,50,3,818.7759099006653,113.20293831825256,5.695447520413914e-07,0.0015888214111328125
xgb,k_center,0.71,0.708,0.708,0.71,0.073,0.074,0.074,0.073,6.389,0.049,0.762,0.615,0.723,0.678,0.875,2e-06,50,3,818.7759099006653,113.20293831825256,5.695447520413914e-07,0.0017294883728027344
rf,k_center,0.67,0.669,0.669,0.67,0.103,0.103,0.103,0.103,17.739,0.401,0.828,0.749,0.849,0.833,0.894,2.4e-05,50,3,818.7759099006653,113.20293831825256,5.695447520413914e-07,0.0017294883728027344
svc,k_center,0.6,0.568,0.568,0.6,0.055,0.068,0.068,0.055,7.1,0.007,0.567,0.283,0.273,0.283,0.721,1.2e-05,50,3,818.7759099006653,113.20293831825256,5.695447520413914e-07,0.0017294883728027344
logreg,k_center,0.59,0.583,0.583,0.59,0.058,0.061,0.061,0.058,6.92,0.008,0.586,0.342,0.366,0.344,0.717,1e-06,50,3,818.7759099006653,113.20293831825256,5.695447520413914e-07,0.0017294883728027344
mlp,k_center,0.49,0.469,0.469,0.49,0.066,0.081,0.081,0.066,7.552,1.174,0.631,0.505,0.619,0.56,0.674,5.5e-05,50,3,818.7759099006653,113.20293831825256,5.695447520413914e-07,0.0017294883728027344
xgb,craig,0.662,0.655,0.656,0.66,0.05,0.052,0.053,0.049,4.144,0.01,0.622,0.584,0.747,0.719,0.704,1.5e-05,50,3,818.7759099006653,113.20293831825256,5.695447520413914e-07,0.0013232231140136719
rf,craig,0.572,0.544,0.551,0.58,0.139,0.171,0.168,0.133,15.676,0.314,0.539,0.398,0.483,0.423,0.625,2e-05,50,3,818.7759099006653,113.20293831825256,5.695447520413914e-07,0.0013232231140136719
svc,craig,0.593,0.53,0.534,0.6,0.083,0.13,0.134,0.089,6.834,0.002,0.531,0.249,0.229,0.251,0.57,7e-06,50,3,818.7759099006653,113.20293831825256,5.695447520413914e-07,0.0013232231140136719
logreg,craig,0.593,0.515,0.519,0.6,0.053,0.107,0.113,0.063,5.952,0.004,0.534,0.243,0.217,0.245,0.579,1e-06,50,3,818.7759099006653,113.20293831825256,5.695447520413914e-07,0.0013232231140136719
mlp,craig,0.537,0.532,0.536,0.54,0.078,0.076,0.078,0.08,7.445,0.037,0.569,0.466,0.585,0.521,0.596,4.3e-05,50,3,818.7759099006653,113.20293831825256,5.695447520413914e-07,0.0013232231140136719
xgb,lc,0.99,0.99,0.99,0.99,0.02,0.02,0.02,0.02,13.952,0.04,0.17,0.112,0.134,0.114,0.11,2e-06,50,3,818.7759099006653,113.20293831825256,5.695447520413914e-07,0.0013303756713867188
rf,lc,0.99,0.99,0.99,0.99,0.02,0.02,0.02,0.02,16.165,0.205,0.196,0.172,0.239,0.183,0.116,1.5e-05,50,3,818.7759099006653,113.20293831825256,5.695447520413914e-07,0.0013303756713867188
svc,lc,0.98,0.98,0.98,0.98,0.024,0.025,0.025,0.024,5.682,0.006,0.307,0.246,0.323,0.263,0.265,5e-06,50,3,818.7759099006653,113.20293831825256,5.695447520413914e-07,0.0013303756713867188
logreg,lc,0.99,0.99,0.99,0.99,0.02,0.02,0.02,0.02,6.984,0.007,0.309,0.28,0.391,0.316,0.284,1e-06,50,3,818.7759099006653,113.20293831825256,5.695447520413914e-07,0.0013303756713867188
mlp,lc,0.98,0.98,0.98,0.98,0.024,0.025,0.025,0.024,6.304,0.068,0.327,0.309,0.441,0.362,0.311,9e-06,50,3,818.7759099006653,113.20293831825256,5.695447520413914e-07,0.0013303756713867188
xgb,random,0.88,0.878,0.878,0.88,0.075,0.077,0.077,0.075,7.552,0.021,0.836,0.787,0.879,0.871,0.893,2e-06,50,4,,,,
rf,random,0.85,0.847,0.847,0.85,0.084,0.086,0.086,0.084,13.757,0.339,0.777,0.702,0.818,0.797,0.86,2.9e-05,50,4,,,,
svc,random,0.8,0.796,0.796,0.8,0.032,0.033,0.033,0.032,5.874,0.008,0.759,0.714,0.836,0.823,0.845,1.1e-05,50,4,,,,
logreg,random,0.81,0.807,0.807,0.81,0.058,0.059,0.059,0.058,3.305,0.006,0.788,0.726,0.838,0.822,0.858,1e-06,50,4,,,,
mlp,random,0.79,0.788,0.788,0.79,0.02,0.019,0.019,0.02,6.768,0.042,0.772,0.678,0.794,0.766,0.828,4e-06,50,4,,,,
xgb,k-means,0.95,0.949,0.949,0.95,0.063,0.064,0.064,0.063,7.083,0.031,0.84,0.795,0.885,0.878,0.891,3e-06,50,4,623.386839389801,329.60683012008667,5.775586413812925e-07,0.0013811588287353516
rf,k-means,0.88,0.877,0.877,0.88,0.087,0.089,0.089,0.087,12.004,0.21,0.794,0.739,0.848,0.835,0.865,1.6e-05,50,4,623.386839389801,329.60683012008667,5.775586413812925e-07,0.0013811588287353516
svc,k-means,0.77,0.763,0.763,0.77,0.075,0.081,0.081,0.075,7.09,0.005,0.741,0.667,0.794,0.768,0.825,9e-06,50,4,623.386839389801,329.60683012008667,5.775586413812925e-07,0.0013811588287353516
logreg,k-means,0.81,0.81,0.81,0.81,0.058,0.059,0.059,0.058,7.024,0.006,0.745,0.647,0.769,0.736,0.824,1e-06,50,4,623.386839389801,329.60683012008667,5.775586413812925e-07,0.0013811588287353516
mlp,k-means,0.73,0.726,0.726,0.73,0.075,0.075,0.075,0.075,7.459,0.104,0.721,0.653,0.785,0.759,0.806,1.8e-05,50,4,623.386839389801,329.60683012008667,5.775586413812925e-07,0.0013811588287353516
xgb,ag,0.95,0.95,0.95,0.95,0.032,0.032,0.032,0.032,5.616,0.033,0.821,0.742,0.845,0.828,0.888,1.1e-05,50,4,623.386839389801,329.60683012008667,5.775586413812925e-07,0.0013966560363769531
rf,ag,0.93,0.93,0.93,0.93,0.04,0.04,0.04,0.04,17.239,0.472,0.778,0.731,0.846,0.834,0.866,3.1e-05,50,4,623.386839389801,329.60683012008667,5.775586413812925e-07,0.0013966560363769531
svc,ag,0.71,0.699,0.699,0.71,0.116,0.122,0.122,0.116,6.393,0.006,0.694,0.554,0.665,0.612,0.779,9e-06,50,4,623.386839389801,329.60683012008667,5.775586413812925e-07,0.0013966560363769531
logreg,ag,0.79,0.787,0.787,0.79,0.037,0.036,0.036,0.037,2.78,0.005,0.712,0.565,0.673,0.621,0.806,1e-06,50,4,623.386839389801,329.60683012008667,5.775586413812925e-07,0.0013966560363769531
mlp,ag,0.64,0.635,0.635,0.64,0.116,0.121,0.121,0.116,7.341,0.028,0.672,0.557,0.678,0.627,0.75,3.9e-05,50,4,623.386839389801,329.60683012008667,5.775586413812925e-07,0.0013966560363769531
xgb,k_center,0.76,0.759,0.759,0.76,0.086,0.086,0.086,0.086,6.902,0.03,0.715,0.574,0.685,0.634,0.819,9e-06,50,4,623.386839389801,329.60683012008667,5.775586413812925e-07,0.0013275146484375
rf,k_center,0.71,0.709,0.709,0.71,0.058,0.058,0.058,0.058,16.051,0.388,0.737,0.588,0.695,0.646,0.852,2.8e-05,50,4,623.386839389801,329.60683012008667,5.775586413812925e-07,0.0013275146484375
svc,k_center,0.68,0.673,0.673,0.68,0.04,0.045,0.045,0.04,7.575,0.006,0.56,0.297,0.299,0.297,0.661,1.2e-05,50,4,623.386839389801,329.60683012008667,5.775586413812925e-07,0.0013275146484375
logreg,k_center,0.69,0.689,0.689,0.69,0.037,0.037,0.037,0.037,6.138,0.006,0.558,0.289,0.286,0.289,0.664,0.0,50,4,623.386839389801,329.60683012008667,5.775586413812925e-07,0.0013275146484375
mlp,k_center,0.56,0.556,0.556,0.56,0.102,0.103,0.103,0.102,7.275,0.699,0.569,0.34,0.37,0.343,0.633,1.6e-05,50,4,623.386839389801,329.60683012008667,5.775586413812925e-07,0.0013275146484375
xgb,craig,0.777,0.771,0.784,0.8,0.131,0.136,0.124,0.11,4.224,0.014,0.625,0.507,0.624,0.565,0.637,1.6e-05,50,4,623.386839389801,329.60683012008667,5.775586413812925e-07,0.0014085769653320312
rf,craig,0.683,0.652,0.657,0.68,0.091,0.102,0.102,0.098,13.035,0.122,0.557,0.385,0.451,0.4,0.658,9e-06,50,4,623.386839389801,329.60683012008667,5.775586413812925e-07,0.0014085769653320312
svc,craig,0.678,0.675,0.688,0.7,0.171,0.172,0.165,0.167,6.829,0.002,0.547,0.504,0.668,0.618,0.597,7e-06,50,4,623.386839389801,329.60683012008667,5.775586413812925e-07,0.0014085769653320312
logreg,craig,0.655,0.629,0.638,0.66,0.09,0.107,0.101,0.08,6.901,0.006,0.655,0.556,0.687,0.637,0.736,1e-06,50,4,623.386839389801,329.60683012008667,5.775586413812925e-07,0.0014085769653320312
mlp,craig,0.61,0.576,0.576,0.6,0.064,0.089,0.097,0.089,7.746,0.02,0.541,0.391,0.469,0.412,0.602,3.6e-05,50,4,623.386839389801,329.60683012008667,5.775586413812925e-07,0.0014085769653320312
xgb,lc,0.99,0.99,0.99,0.99,0.02,0.02,0.02,0.02,13.875,0.035,0.255,0.099,0.071,0.101,0.124,5e-06,50,4,623.386839389801,329.60683012008667,5.775586413812925e-07,0.0013349056243896484
rf,lc,0.98,0.98,0.98,0.98,0.024,0.025,0.025,0.024,16.606,0.372,0.402,0.132,0.072,0.141,0.128,3.3e-05,50,4,623.386839389801,329.60683012008667,5.775586413812925e-07,0.0013349056243896484
svc,lc,0.99,0.99,0.99,0.99,0.02,0.02,0.02,0.02,4.55,0.003,0.279,0.207,0.262,0.215,0.216,4e-06,50,4,623.386839389801,329.60683012008667,5.775586413812925e-07,0.0013349056243896484
logreg,lc,0.99,0.99,0.99,0.99,0.02,0.02,0.02,0.02,7.492,0.007,0.314,0.268,0.361,0.293,0.295,1e-06,50,4,623.386839389801,329.60683012008667,5.775586413812925e-07,0.0013349056243896484
mlp,lc,0.97,0.97,0.97,0.97,0.024,0.025,0.025,0.024,7.611,0.107,0.357,0.312,0.424,0.35,0.33,1.8e-05,50,4,623.386839389801,329.60683012008667,5.775586413812925e-07,0.0013349056243896484
xgb,random,0.867,0.866,0.866,0.867,0.061,0.062,0.062,0.061,7.981,0.054,0.816,0.748,0.851,0.837,0.889,1.5e-05,60,0,,,,
rf,random,0.883,0.881,0.881,0.883,0.055,0.058,0.058,0.055,17.518,0.407,0.793,0.687,0.798,0.77,0.872,3e-05,60,0,,,,
svc,random,0.842,0.841,0.841,0.842,0.067,0.067,0.067,0.067,6.405,0.006,0.77,0.682,0.8,0.774,0.836,8e-06,60,0,,,,
logreg,random,0.85,0.848,0.848,0.85,0.042,0.043,0.043,0.042,6.981,0.008,0.783,0.706,0.821,0.8,0.851,1e-06,60,0,,,,
mlp,random,0.808,0.806,0.806,0.808,0.068,0.069,0.069,0.068,8.114,0.175,0.738,0.636,0.759,0.723,0.824,2.8e-05,60,0,,,,
xgb,k-means,0.95,0.95,0.95,0.95,0.049,0.049,0.049,0.049,6.934,0.034,0.831,0.803,0.892,0.888,0.854,6e-06,60,0,2772.0837621688843,814.7673902511597,5.532806388234152e-07,0.002418041229248047
rf,k-means,0.917,0.916,0.916,0.917,0.037,0.037,0.037,0.037,15.822,0.245,0.787,0.727,0.839,0.824,0.871,2.2e-05,60,0,2772.0837621688843,814.7673902511597,5.532806388234152e-07,0.002418041229248047
svc,k-means,0.717,0.713,0.713,0.717,0.116,0.116,0.116,0.116,7.084,0.006,0.736,0.667,0.795,0.77,0.83,8e-06,60,0,2772.0837621688843,814.7673902511597,5.532806388234152e-07,0.002418041229248047
logreg,k-means,0.758,0.757,0.757,0.758,0.096,0.097,0.097,0.096,7.066,0.015,0.686,0.631,0.774,0.748,0.733,0.0,60,0,2772.0837621688843,814.7673902511597,5.532806388234152e-07,0.002418041229248047
mlp,k-means,0.642,0.637,0.637,0.642,0.057,0.054,0.054,0.057,6.852,0.15,0.695,0.619,0.754,0.72,0.78,1.9e-05,60,0,2772.0837621688843,814.7673902511597,5.532806388234152e-07,0.002418041229248047
xgb,ag,0.95,0.95,0.95,0.95,0.031,0.031,0.031,0.031,5.046,0.035,0.828,0.801,0.891,0.886,0.858,3e-06,60,0,2772.0837621688843,814.7673902511597,5.532806388234152e-07,0.0016655921936035156
rf,ag,0.917,0.916,0.916,0.917,0.026,0.026,0.026,0.026,12.209,0.106,0.759,0.752,0.869,0.867,0.873,9e-06,60,0,2772.0837621688843,814.7673902511597,5.532806388234152e-07,0.0016655921936035156
svc,ag,0.725,0.723,0.723,0.725,0.042,0.04,0.04,0.042,7.024,0.006,0.743,0.616,0.731,0.688,0.836,1e-05,60,0,2772.0837621688843,814.7673902511597,5.532806388234152e-07,0.0016655921936035156
logreg,ag,0.758,0.755,0.755,0.758,0.031,0.03,0.03,0.031,3.885,0.005,0.733,0.608,0.724,0.68,0.803,0.0,60,0,2772.0837621688843,814.7673902511597,5.532806388234152e-07,0.0016655921936035156
mlp,ag,0.65,0.647,0.647,0.65,0.02,0.021,0.021,0.02,8.453,0.106,0.724,0.59,0.704,0.656,0.804,1.4e-05,60,0,2772.0837621688843,814.7673902511597,5.532806388234152e-07,0.0016655921936035156
xgb,k_center,0.775,0.772,0.772,0.775,0.057,0.06,0.06,0.057,6.113,0.016,0.815,0.78,0.878,0.871,0.866,2e-06,60,0,2772.0837621688843,814.7673902511597,5.532806388234152e-07,0.001630544662475586
rf,k_center,0.75,0.749,0.749,0.75,0.083,0.085,0.085,0.083,14.952,0.407,0.813,0.728,0.834,0.814,0.88,2.6e-05,60,0,2772.0837621688843,814.7673902511597,5.532806388234152e-07,0.001630544662475586
svc,k_center,0.608,0.568,0.568,0.608,0.094,0.12,0.12,0.094,7.161,0.009,0.549,0.263,0.245,0.264,0.7,1.3e-05,60,0,2772.0837621688843,814.7673902511597,5.532806388234152e-07,0.001630544662475586
logreg,k_center,0.583,0.57,0.57,0.583,0.046,0.047,0.047,0.046,7.045,0.007,0.594,0.373,0.415,0.379,0.7,0.0,60,0,2772.0837621688843,814.7673902511597,5.532806388234152e-07,0.001630544662475586
mlp,k_center,0.458,0.453,0.453,0.458,0.083,0.075,0.075,0.083,7.432,0.076,0.605,0.422,0.493,0.44,0.692,5e-06,60,0,2772.0837621688843,814.7673902511597,5.532806388234152e-07,0.001630544662475586
xgb,craig,0.654,0.649,0.72,0.75,0.134,0.176,0.138,0.118,4.185,0.014,0.596,0.468,0.574,0.513,0.62,1.6e-05,60,0,2772.0837621688843,814.7673902511597,5.532806388234152e-07,0.0013353824615478516
rf,craig,0.607,0.591,0.666,0.683,0.115,0.136,0.104,0.082,15.386,0.32,0.603,0.447,0.537,0.478,0.643,1.9e-05,60,0,2772.0837621688843,814.7673902511597,5.532806388234152e-07,0.0013353824615478516
svc,craig,0.664,0.67,0.739,0.767,0.071,0.076,0.073,0.062,7.538,0.003,0.52,0.337,0.384,0.344,0.645,7e-06,60,0,2772.0837621688843,814.7673902511597,5.532806388234152e-07,0.0013353824615478516
logreg,craig,0.571,0.541,0.66,0.733,0.067,0.114,0.087,0.062,6.173,0.006,0.659,0.485,0.574,0.517,0.76,0.0,60,0,2772.0837621688843,814.7673902511597,5.532806388234152e-07,0.0013353824615478516
mlp,craig,0.583,0.588,0.666,0.683,0.07,0.08,0.081,0.097,7.684,0.117,0.665,0.532,0.645,0.59,0.751,1.8e-05,60,0,2772.0837621688843,814.7673902511597,5.532806388234152e-07,0.0013353824615478516
xgb,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,14.485,0.023,0.318,0.106,0.057,0.112,0.165,9e-06,60,0,2772.0837621688843,814.7673902511597,5.532806388234152e-07,0.0016071796417236328
rf,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,16.422,0.306,0.384,0.138,0.088,0.144,0.154,1.9e-05,60,0,2772.0837621688843,814.7673902511597,5.532806388234152e-07,0.0016071796417236328
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.721,0.006,0.244,0.134,0.139,0.134,0.141,6e-06,60,0,2772.0837621688843,814.7673902511597,5.532806388234152e-07,0.0016071796417236328
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.965,0.008,0.241,0.137,0.146,0.137,0.139,0.0,60,0,2772.0837621688843,814.7673902511597,5.532806388234152e-07,0.0016071796417236328
mlp,lc,0.983,0.983,0.983,0.983,0.02,0.02,0.02,0.02,7.637,0.129,0.237,0.181,0.233,0.188,0.17,4e-06,60,0,2772.0837621688843,814.7673902511597,5.532806388234152e-07,0.0016071796417236328
xgb,random,0.875,0.875,0.875,0.875,0.075,0.075,0.075,0.075,7.473,0.016,0.826,0.786,0.88,0.873,0.883,7e-06,60,1,,,,
rf,random,0.867,0.866,0.866,0.867,0.085,0.085,0.085,0.085,14.907,0.263,0.817,0.757,0.859,0.847,0.884,2.3e-05,60,1,,,,
svc,random,0.792,0.781,0.781,0.792,0.095,0.107,0.107,0.095,7.252,0.009,0.794,0.746,0.855,0.843,0.875,1.2e-05,60,1,,,,
logreg,random,0.817,0.813,0.813,0.817,0.077,0.081,0.081,0.077,6.886,0.006,0.819,0.77,0.869,0.86,0.871,0.0,60,1,,,,
mlp,random,0.742,0.74,0.74,0.742,0.017,0.018,0.018,0.017,7.826,0.666,0.768,0.67,0.787,0.757,0.84,5.6e-05,60,1,,,,
xgb,k-means,0.958,0.958,0.958,0.958,0.053,0.053,0.053,0.053,6.783,0.043,0.832,0.797,0.887,0.882,0.875,1.7e-05,60,1,1099.4407563209534,803.1430568695068,5.689646581749643e-07,0.0015408992767333984
rf,k-means,0.958,0.958,0.958,0.958,0.037,0.037,0.037,0.037,18.821,0.479,0.808,0.722,0.829,0.809,0.881,3.2e-05,60,1,1099.4407563209534,803.1430568695068,5.689646581749643e-07,0.0015408992767333984
svc,k-means,0.733,0.718,0.718,0.733,0.068,0.08,0.08,0.068,6.399,0.006,0.71,0.553,0.657,0.603,0.5,1.3e-05,60,1,1099.4407563209534,803.1430568695068,5.689646581749643e-07,0.0015408992767333984
logreg,k-means,0.808,0.808,0.808,0.808,0.097,0.097,0.097,0.097,6.346,0.015,0.742,0.619,0.735,0.693,0.81,1e-06,60,1,1099.4407563209534,803.1430568695068,5.689646581749643e-07,0.0015408992767333984
mlp,k-means,0.692,0.689,0.689,0.692,0.057,0.057,0.057,0.057,7.57,0.132,0.709,0.557,0.663,0.61,0.78,3.8e-05,60,1,1099.4407563209534,803.1430568695068,5.689646581749643e-07,0.0015408992767333984
xgb,ag,0.95,0.95,0.95,0.95,0.049,0.049,0.049,0.049,4.235,0.027,0.829,0.795,0.886,0.881,0.864,1.1e-05,60,1,1099.4407563209534,803.1430568695068,5.689646581749643e-07,0.0016133785247802734
rf,ag,0.933,0.933,0.933,0.933,0.068,0.068,0.068,0.068,11.733,0.264,0.82,0.749,0.851,0.836,0.881,1.9e-05,60,1,1099.4407563209534,803.1430568695068,5.689646581749643e-07,0.0016133785247802734
svc,ag,0.75,0.749,0.749,0.75,0.037,0.037,0.037,0.037,7.094,0.007,0.697,0.555,0.664,0.612,0.807,8e-06,60,1,1099.4407563209534,803.1430568695068,5.689646581749643e-07,0.0016133785247802734
logreg,ag,0.742,0.739,0.739,0.742,0.061,0.063,0.063,0.061,6.409,0.007,0.692,0.533,0.635,0.58,0.787,1e-06,60,1,1099.4407563209534,803.1430568695068,5.689646581749643e-07,0.0016133785247802734
